date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:21:56%20GMT	http://donaldtrumpcoin.net/fonts/33696a29f45c1b554a4c12443b998d21.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/33696a29f45c1b554a4c12443b998d21.woff2	(from https://donaldtrumpcoin.net/)
16:21:57	40708/40708	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/fonts/f4a4890561b3fddfd1fd9a1b27b6d4a4.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/f4a4890561b3fddfd1fd9a1b27b6d4a4.woff2	(from https://donaldtrumpcoin.net/)
16:21:57	41456/41456	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/fonts/33696a29f45c1b554a4c12443b998d21.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/33696a29f45c1b554a4c12443b998d21.woff2	(from https://donaldtrumpcoin.net/)
16:21:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:21:58%20GMT	http://donaldtrumpcoin.net/fonts/8dbae49e1280328b442be6dfff163124.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/8dbae49e1280328b442be6dfff163124.woff2	(from https://donaldtrumpcoin.net/)
16:21:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:00%20GMT	http://donaldtrumpcoin.net/fonts/625cf32ea46ae48b58ebd3ff993de469.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/625cf32ea46ae48b58ebd3ff993de469.woff2	(from https://donaldtrumpcoin.net/)
16:21:59	42500/42500	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:22:00%20GMT	https://donaldtrumpcoin.net/fonts/8dbae49e1280328b442be6dfff163124.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/8dbae49e1280328b442be6dfff163124.woff2	(from https://donaldtrumpcoin.net/)
16:22:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:00%20GMT	http://donaldtrumpcoin.net/fonts/c69c23593c9bd5705c7780a200f2a6db.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/c69c23593c9bd5705c7780a200f2a6db.woff2	(from https://donaldtrumpcoin.net/)
16:22:01	42876/42876	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:22:00%20GMT	https://donaldtrumpcoin.net/fonts/625cf32ea46ae48b58ebd3ff993de469.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/625cf32ea46ae48b58ebd3ff993de469.woff2	(from https://donaldtrumpcoin.net/)
16:22:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:02%20GMT	http://donaldtrumpcoin.net/fonts/e5e43f51d6d7939d8911c861efa5f9b7.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/e5e43f51d6d7939d8911c861efa5f9b7.woff2	(from https://donaldtrumpcoin.net/)
16:22:03	41508/41508	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:22:02%20GMT	https://donaldtrumpcoin.net/fonts/c69c23593c9bd5705c7780a200f2a6db.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/c69c23593c9bd5705c7780a200f2a6db.woff2	(from https://donaldtrumpcoin.net/)
16:22:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:04%20GMT	http://donaldtrumpcoin.net/fonts/5d1113eba22194a2d6a845535ffe86d6.woff	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/5d1113eba22194a2d6a845535ffe86d6.woff	(from https://donaldtrumpcoin.net/)
16:22:04	43356/43356	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:22:04%20GMT	https://donaldtrumpcoin.net/fonts/e5e43f51d6d7939d8911c861efa5f9b7.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/e5e43f51d6d7939d8911c861efa5f9b7.woff2	(from https://donaldtrumpcoin.net/)
16:22:04	8072/8072	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/fonts/5d1113eba22194a2d6a845535ffe86d6.woff	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/5d1113eba22194a2d6a845535ffe86d6.woff	(from https://donaldtrumpcoin.net/)
16:22:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:05%20GMT	http://donaldtrumpcoin.net/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://donaldtrumpcoin.net/)
16:22:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:06%20GMT	http://donaldtrumpcoin.net/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://donaldtrumpcoin.net/)
16:22:05	194188/194188	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:22:06%20GMT	https://donaldtrumpcoin.net/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://donaldtrumpcoin.net/)
16:22:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:07%20GMT	http://donaldtrumpcoin.net/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://donaldtrumpcoin.net/)
16:22:07	194064/194064	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:22:06%20GMT	https://donaldtrumpcoin.net/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://donaldtrumpcoin.net/)
16:22:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:08%20GMT	http://donaldtrumpcoin.net/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://donaldtrumpcoin.net/)
16:22:09	201132/201132	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:22:08%20GMT	https://donaldtrumpcoin.net/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://donaldtrumpcoin.net/)
16:22:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:10%20GMT	http://donaldtrumpcoin.net/'data:image/png;base64,'	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/'data_image/png;base64,'	(from https://donaldtrumpcoin.net/)
16:22:11	203232/203232	---M--	200	added ('OK')	font/woff2	date:Mon,%2027%20May%202024%2014:22:10%20GMT	https://donaldtrumpcoin.net/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://donaldtrumpcoin.net/)
16:22:11	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20May%202024%2014:22:12%20GMT	https://donaldtrumpcoin.net/'data:image/png;base64,'	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/'data_image/png;base64,'	(from https://donaldtrumpcoin.net/)
16:22:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:12%20GMT	http://donaldtrumpcoin.net/images/6f3d079b53e3b358ce35a4ea2311fa0c.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/6f3d079b53e3b358ce35a4ea2311fa0c.png	(from https://donaldtrumpcoin.net/)
16:22:15	81602/81602	---M--	200	added ('OK')	image/png	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/images/6f3d079b53e3b358ce35a4ea2311fa0c.png	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/6f3d079b53e3b358ce35a4ea2311fa0c.png	(from https://donaldtrumpcoin.net/)
16:22:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:14%20GMT	http://donaldtrumpcoin.net/images/041847f728d4a668d0bc01602ab8f63a.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/041847f728d4a668d0bc01602ab8f63a.svg	(from https://donaldtrumpcoin.net/)
16:22:16	511/511	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/images/041847f728d4a668d0bc01602ab8f63a.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/041847f728d4a668d0bc01602ab8f63a.svg	(from https://donaldtrumpcoin.net/)
16:22:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:16%20GMT	http://donaldtrumpcoin.net/images/1a5c506e65630d6716e4170548575dc7.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/1a5c506e65630d6716e4170548575dc7.svg	(from https://donaldtrumpcoin.net/)
16:22:16	335/335	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/images/1a5c506e65630d6716e4170548575dc7.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/1a5c506e65630d6716e4170548575dc7.svg	(from https://donaldtrumpcoin.net/)
16:22:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:17%20GMT	http://donaldtrumpcoin.net/videos/23f59f89f331ca091055753ab033eb99.gif	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/videos/23f59f89f331ca091055753ab033eb99.gif	(from https://donaldtrumpcoin.net/)
16:22:16	357270/357270	---M--	200	added ('OK')	image/gif	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/videos/23f59f89f331ca091055753ab033eb99.gif	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/videos/23f59f89f331ca091055753ab033eb99.gif	(from https://donaldtrumpcoin.net/)
16:22:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:17%20GMT	http://donaldtrumpcoin.net/images/87c192804720704d759a54ee4e1f1921.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/87c192804720704d759a54ee4e1f1921.svg	(from https://donaldtrumpcoin.net/)
16:22:17	1326/1326	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/images/87c192804720704d759a54ee4e1f1921.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/87c192804720704d759a54ee4e1f1921.svg	(from https://donaldtrumpcoin.net/)
16:22:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:18%20GMT	http://donaldtrumpcoin.net/images/8532b3b01fecd60157301ec8dbb2fc67.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/8532b3b01fecd60157301ec8dbb2fc67.svg	(from https://donaldtrumpcoin.net/)
16:22:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:19%20GMT	http://donaldtrumpcoin.net/images/4eaaf59d16a97647d81581ecb5795752.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/4eaaf59d16a97647d81581ecb5795752.svg	(from https://donaldtrumpcoin.net/)
16:22:18	2299/2299	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/images/8532b3b01fecd60157301ec8dbb2fc67.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/8532b3b01fecd60157301ec8dbb2fc67.svg	(from https://donaldtrumpcoin.net/)
16:22:18	2628/2628	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/images/4eaaf59d16a97647d81581ecb5795752.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/4eaaf59d16a97647d81581ecb5795752.svg	(from https://donaldtrumpcoin.net/)
16:22:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:19%20GMT	http://donaldtrumpcoin.net/images/5390504a69098196f1b4d95b548503c2.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/5390504a69098196f1b4d95b548503c2.svg	(from https://donaldtrumpcoin.net/)
16:22:19	2915/2915	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/images/5390504a69098196f1b4d95b548503c2.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/5390504a69098196f1b4d95b548503c2.svg	(from https://donaldtrumpcoin.net/)
16:22:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:19%20GMT	http://donaldtrumpcoin.net/images/83f0d9edef8159ea97679c567cecc95a.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/83f0d9edef8159ea97679c567cecc95a.svg	(from https://donaldtrumpcoin.net/)
16:22:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2014:22:20%20GMT	http://donaldtrumpcoin.net/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://donaldtrumpcoin.net/)
16:22:19	935/935	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/images/83f0d9edef8159ea97679c567cecc95a.svg	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/images/83f0d9edef8159ea97679c567cecc95a.svg	(from https://donaldtrumpcoin.net/)
16:22:20	221/221	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2027%20May%202024%2014:21:00%20GMT	https://donaldtrumpcoin.net/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	C:/Users/hboy2/OneDrive/Desktop/coin/mysite/donaldtrumpcoin.net/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://donaldtrumpcoin.net/)
